"url";"reach_rank";"delta";"country";"country_rank";"populartity"
"http://www.dimdom.fr/";"10731236";"N/A";"N/A";"N/A";"11967039"
"http://divideandsavour.com/";"12884396";"N/A";"N/A";"N/A";"13900621"
"http://divvy.com.au/";"859962";"+276401";"31378";"Australia";"934585"
"http://letsdivvy.it";"4627176";"-10902119";"N/A";"N/A";"5533729"
"http://www.dixiemefamille.com/index.php";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.diyfractional.com/";"20981751";"+11662084";"N/A";"N/A";"21480469"
"http://www.djengo.be/";"7141760";"+3878046";"N/A";"N/A";"7085016"
"http://dogvacay.com/";"37430";"-1806";"7259";"United States";"33663"
"http://donnons.org/";"69831";"-8486";"1936";"France";"68367"
"http://www.dopios.com";"654963";"-1031878";"14444";"Greece";"627189"
"https://doubledutchery.com/";"22358326";"+8382005";"N/A";"N/A";"22431848"
